Abile	Able
Abituato	Accustomed
Abbronzato	Tanned
Accattivante	Attractive
Amichevole	Friendly
Barbuto	Bearded
Basso	Short
Bello	Beautiful
Benedetto	Blessed
Benigno	Benevolent
Bianco	white
Biondo	blond
Brutto	ugly
Buono	good
Caldo	hot
Calmo	calm
Calvo	bald
Caotico	chaotic
Capriccioso	capricious
Carico	loaded
Carino	cute
Cattivo	bad
Chiuso	closed
Deforme	deformed
Delizioso	delicious
Depresso	depressed
Deserto	deserted
Famoso	famous
Fedele	faithful
Fiducioso	trusting
Freddo	cold
Geloso	jealous
Gentile	kind
Gioioso	joyful
Giovane	young
Gradevole	agreeable
Grande	big
Grasso	fat
Grave	serious
Grosso	large
Ideale	ideal
Ignorante	ignorant
Illegale	illegal
Intelligente	intelligent
Imbarazzante	embarrassing
Largo	wide
Leale	loyal
Lento	slow
Letale	lethal
Liberale	liberal
Lieto	pleased
Lodevole	laudable
Loquace	loquacious
Lungo	long
Lussuoso	luxurious
Magro	thin
Malato	ill
Malizioso	malicious
Marittimo	marine
Matto	crazy
Migliore	better
Misero	miserable
Naturale	natural
Nero	black
Noioso	boring
Pacato	calm
Paranoico	paranoid
Pauroso	fearful
Pentito	repentant
Pericoloso	dangerous
Perso	lost
Pesante	heavy
Piatto	flat
Piccante	spicy
Pieno	full
Piccolo	small
Popolare	popular
Positivo	positive
Possessivo	possessive
Povero	poor
Rapido	swift
Raro	rare
Realistico	realistic
Regolare	regular
Ricco	rich
Sano	healthy
Scarso	scarce
Sconfitto	defeated
Segreto	secret
Seguente	next
Taciturno	taciturn
Tenace	tenacious
Timido	shy
Tollerante	tolerant
Tranquillo	quiet
Triste	sad
Vecchio	old
Veloce	fast
Vivace	lively
Vivo	alive
Viziato	spoiled
Volgare	vulgar
